date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zclose,zadjcp,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2010-01-04,19.85,19.95,19.7,19.75,19.75,2892,-0.3186004543266364,-0.32309127440339747,-0.32522523759899924,-0.34638059538555754,-0.34638059538555754,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,20.0,20.0,19.75,19.9,19.9,2892,-0.2780090009009012,-0.3096813544471585,-0.3116190491189918,-0.305919390620834,-0.305919390620834,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,19.95,20.15,19.8,20.15,20.15,2892,-0.2915394853761466,-0.26945159457844264,-0.2980128606389844,-0.2384840493462942,-0.2384840493462942,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,20.15,20.2,19.85,19.85,19.85,2892,-0.23741754747516597,-0.2560416746222037,-0.284406672158977,-0.3194064588757412,-0.3194064588757412,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,19.8,20.1,19.8,19.95,19.95,2892,-0.33213093880188177,-0.2828615145346806,-0.2980128606389844,-0.29243232236592587,-0.29243232236592587,0.0015060240963855993,0.0,0.0,0.0,0.0,0.0
2010-01-11,19.8,19.95,19.7,19.75,19.75,2892,-0.33213093880188177,-0.32309127440339747,-0.32522523759899924,-0.34638059538555754,-0.34638059538555754,-0.008534136546184647,0.0,0.0,0.0,0.0,0.0
2010-01-12,19.8,19.9,19.5,19.5,19.5,2892,-0.33213093880188177,-0.33650119435963644,-0.3796499915190279,-0.41381593666009736,-0.41381593666009736,-0.017137096774193367,0.0,0.0,0.0,0.0,0.0
2010-01-13,19.45,19.45,19.2,19.25,19.25,2892,-0.42684433012859857,-0.457190473965785,-0.4612871223990714,-0.4812512779346372,-0.4812512779346372,-0.020854526958290952,0.0,0.0,0.0,0.0,0.0
2010-01-14,19.25,19.4,19.2,19.25,19.25,2892,-0.48096626802957915,-0.47060039392202396,-0.4612871223990714,-0.4812512779346372,-0.4812512779346372,-0.014841351074718482,0.0,0.0,0.0,0.0,0.0
2010-01-15,19.4,19.45,19.3,19.35,19.35,2892,-0.4403748146038439,-0.457190473965785,-0.4340747454390566,-0.45427714142482084,-0.45427714142482084,-0.0036045314109165952,-0.016268429079816817,0.0,0.0,0.0,0.0
2010-01-18,19.15,19.4,19.1,19.35,19.35,2892,-0.5080272369800699,-0.47060039392202396,-0.48849949935908527,-0.45427714142482084,-0.45427714142482084,0.0005170630816960477,-0.014263881813550743,0.0,0.0,0.0,0.0
2010-01-19,19.4,19.45,19.15,19.2,19.2,2892,-0.4403748146038439,-0.457190473965785,-0.4748933108790788,-0.4947383461895453,-0.4947383461895453,-0.004149377593361091,-0.018404907975460096,0.0,0.0,0.0,0.0
2010-01-20,19.25,19.3,19.0,19.05,19.05,2892,-0.48096626802957915,-0.4974202338345009,-0.5157118763191001,-0.5351995509542689,-0.5351995509542689,-0.00987525987525994,-0.02056555269922872,0.0,0.0,0.0,0.0
2010-01-21,19.0,19.15,19.0,19.05,19.05,2892,-0.5486186904058051,-0.5376499937032178,-0.5157118763191001,-0.5351995509542689,-0.5351995509542689,-0.007812499999999926,-0.01652039235931837,0.0,0.0,0.0,0.0
2010-01-22,18.8,18.9,18.5,18.55,18.55,2892,-0.6027406283067858,-0.6046995934844115,-0.6517737611191723,-0.6700702335033485,-0.6700702335033485,-0.025735294117646978,-0.03536141445657825,-0.04676258992805739,0.0,0.0,0.0
2010-01-25,18.35,18.5,18.25,18.3,18.3,2892,-0.7245149885839923,-0.7119789531343211,-0.7198047035192083,-0.7375055747778883,-0.7375055747778883,-0.02814657461497616,-0.041131778883940276,-0.054914787398863796,0.0,0.0,0.0
2010-01-26,18.4,18.45,17.8,17.8,17.8,2892,-0.7109845041087479,-0.7253888730905601,-0.8422603998392731,-0.8723762573269679,-0.8723762573269679,-0.04043126684636118,-0.05894792492730629,-0.07404196289231847,0.0,0.0,0.0
2010-01-27,17.85,18.05,17.8,17.95,17.95,2892,-0.8598198333364443,-0.8326682327404697,-0.8422603998392731,-0.8319150525622444,-0.8319150525622444,-0.02073104200763789,-0.04445035932925229,-0.05905993360125801,0.0,0.0,0.0
2010-01-28,18.2,18.2,18.0,18.0,18.0,2892,-0.7651064420097284,-0.7924384728717538,-0.7878356459192444,-0.8184279843073362,-0.8184279843073362,-0.00662251655629125,-0.035369774919614336,-0.05029897995075623,0.0,0.0,0.0
2010-01-29,17.85,17.95,17.6,17.9,17.9,2892,-0.8598198333364443,-0.8594880726529477,-0.8966851537593018,-0.8454021208171525,-0.8454021208171525,-0.005002779321845462,-0.033216311099108935,-0.04871567759078837,-0.062459080790886606,0.0,0.0
2010-02-01,18.0,18.05,17.55,17.65,17.65,2892,-0.8192283799107091,-0.8326682327404697,-0.9102913422393092,-0.9128374620916924,-0.9128374620916924,-0.011758118701007887,-0.037884982284001105,-0.054970551490273106,-0.07044107965766963,0.0,0.0
2010-02-02,17.9,17.9,17.2,17.25,17.25,2892,-0.8462893488611999,-0.8728979926091867,-1.0055346615993601,-1.0207340081309557,-1.0207340081309557,-0.028169014084507043,-0.04958677685950406,-0.06890967974091385,-0.0851233094669849,0.0,0.0
2010-02-03,17.5,17.55,17.1,17.5,17.5,2892,-0.954533224663161,-0.9667674323028573,-1.032747038559374,-0.9532986668564158,-0.9532986668564158,-0.009060022650056633,-0.027507641011391915,-0.04942965779467681,-0.06529576712511685,0.0,0.0
2010-02-04,17.55,17.55,17.15,17.2,17.2,2892,-0.9410027401879156,-0.9667674323028573,-1.0191408500793675,-1.034221076385864,-1.034221076385864,-0.017142857142857182,-0.03425042111173495,-0.05873768697555623,-0.07477138246369018,0.0,0.0
2010-02-05,16.8,16.8,16.2,16.3,16.3,2892,-1.1439600073165936,-1.1679162316464387,-1.2776584311995045,-1.2769883049742068,-1.2769883049742068,-0.05122235157159482,-0.07307364230878591,-0.09795240730492527,-0.11449137579790837,-0.1288081239978621,0.0
2010-02-06,16.2,16.65,16.2,16.55,16.55,2892,-1.3063258210195363,-1.2081459915151556,-1.2776584311995045,-1.209552963699667,-1.209552963699667,-0.0241745283018868,-0.0493968983342908,-0.07455731593662622,-0.0930264419783531,-0.10935313744483909,0.0
2010-02-08,16.6,16.7,16.45,16.5,16.5,2892,-1.1980819452175742,-1.1947360715589166,-1.2096274887994682,-1.2230400319545751,-1.2230400319545751,-0.01844140392623431,-0.04513888888888895,-0.0679721333082282,-0.08827186075424782,-0.1054971267483466,0.0
2010-02-09,16.5,16.75,16.35,16.65,16.65,2892,-1.225142914168065,-1.1813261516026776,-1.2368398657594821,-1.1825788271898516,-1.1825788271898516,0.0006009615384614189,-0.02915451895043732,-0.05092152764582944,-0.07332684012800886,-0.09046214355948864,0.0
2010-02-10,16.8,16.95,16.6,16.7,16.7,2892,-1.1439600073165936,-1.1276864717777229,-1.168808923359446,-1.1690917589349434,-1.1690917589349434,0.009673518742442573,-0.018801410105758153,-0.03949386503067489,-0.06390134529147967,-0.08140814081408143,0.0
2010-02-22,17.0,17.6,16.9,17.4,17.4,2892,-1.0898380694156131,-0.9533575123466184,-1.0871717924794035,-0.9802728033662321,-0.9802728033662321,0.0381861575178998,0.025338833235120786,0.005199306759098779,-0.019303931238551564,-0.03750414868901432,-0.05357628501495782
2010-02-23,17.25,17.45,17.2,17.35,17.35,2892,-1.022185647039387,-0.9935872722153352,-1.0055346615993601,-0.9937598716211393,-0.9937598716211393,0.025413711583924546,0.02420306965761512,0.005991495941244798,-0.016579282981436697,-0.035146257368479476,-0.05217153783119357
2010-02-24,17.3,17.45,17.05,17.25,17.25,2892,-1.0086551625641416,-0.9935872722153352,-1.0463532270393814,-1.0207340081309557,-1.0207340081309557,0.010544815465729333,0.018299881936245495,0.0023242300987799365,-0.016813907096038656,-0.03588195841716966,-0.053064958828911164
2010-02-25,17.35,17.4,16.85,16.95,16.95,2892,-0.9951246780888963,-1.0069971921715741,-1.10077798095941,-1.1016564176604036,-1.1016564176604036,-0.010507880910682997,0.0038495706248150006,-0.01127746451487469,-0.02809633027522947,-0.04775280898876412,-0.06405300938707915
2010-02-26,17.05,17.45,17.05,17.25,17.25,2892,-1.0763075849403676,-0.9935872722153352,-1.0463532270393814,-1.0207340081309557,-1.0207340081309557,0.0005800464037123877,0.02131438721136764,0.009165366614664355,-0.005763688760806998,-0.026523702031602647,-0.04290734233401147
2010-03-01,17.4,17.75,17.25,17.5,17.5,2892,-0.9815941936136519,-0.9131277524779025,-0.9919284731193527,-0.9532986668564158,-0.9532986668564158,0.013904982618771843,0.028806584362140036,0.025390625000000014,0.011706894059835061,-0.008273829763119165,-0.02461681374825823
2010-03-02,17.7,17.7,17.55,17.7,17.7,2892,-0.9004112867621804,-0.9265376724341414,-0.9102913422393092,-0.8993503938367842,-0.8993503938367842,0.021350259665320313,0.033576642335766384,0.036906854130052666,0.02504705371362371,0.006825938566552958,-0.009697873927638868
2010-03-03,17.8,18.1,17.8,18.0,18.0,2892,-0.8733503178116897,-0.8192583127842308,-0.8422603998392731,-0.8184279843073362,-0.8184279843073362,0.029748283752860386,0.04196816208393641,0.05140186915887844,0.0418173925625814,0.026694045174537984,0.009912100243127143
2010-03-04,18.0,18.1,17.5,17.55,17.55,2892,-0.8192283799107091,-0.8192583127842308,-0.9238975307193166,-0.9398115986015076,-0.9398115986015076,-0.002840909090909131,0.01065361359055564,0.02491726688728825,0.016949152542372906,0.00446428571428568,-0.012195121951219419
