date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zclose,zadjcp,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2010-01-04,76.5,76.7,76.1,76.5,76.5,2207,-1.6977920189278983,-1.7017358079373386,-1.6924520312402824,-1.696885261387773,-1.696885261387773,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,76.7,77.0,76.5,76.9,76.9,2207,-1.6967549114341143,-1.7001969373919865,-1.6903557105927778,-1.6948112199099397,-1.6948112199099397,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,76.9,76.9,76.5,76.7,76.7,2207,-1.69571780394033,-1.7007098942404373,-1.6903557105927778,-1.6958482406488564,-1.6958482406488564,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,76.9,77.2,76.5,76.9,76.9,2207,-1.69571780394033,-1.699171023695085,-1.6903557105927778,-1.6948112199099397,-1.6948112199099397,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,76.9,77.4,76.9,77.3,77.3,2207,-1.69571780394033,-1.6981451099981837,-1.6882593899452731,-1.6927371784321068,-1.6927371784321068,0.005724694249284384,0.0,0.0,0.0,0.0,0.0
2010-01-11,77.9,77.9,76.9,76.9,76.9,2207,-1.690532266471409,-1.69558032575593,-1.6882593899452731,-1.6948112199099397,-1.6948112199099397,-0.0005198856251625454,0.0,0.0,0.0,0.0,0.0
2010-01-12,76.9,77.1,76.3,76.3,76.3,2207,-1.69571780394033,-1.6996839805435355,-1.6914038709165298,-1.6979222821266893,-1.6979222821266893,-0.006769070554543221,0.0,0.0,0.0,0.0,0.0
2010-01-13,76.3,76.3,75.7,75.7,75.7,2207,-1.6988291264216826,-1.7037876353311414,-1.6945483518877866,-1.701033344343439,-1.701033344343439,-0.012007308796658858,0.0,0.0,0.0,0.0,0.0
2010-01-14,75.7,76.4,75.6,75.8,75.8,2207,-1.7019404489030352,-1.7032746784826909,-1.6950724320496628,-1.7005148339739806,-1.7005148339739806,-0.007853403141361367,0.0,0.0,0.0,0.0,0.0
2010-01-15,75.7,76.0,75.5,75.5,75.5,2207,-1.7019404489030352,-1.7053265058764935,-1.6955965122115388,-1.7020703650823554,-1.7020703650823554,-0.007101525512887849,-0.01242642249836498,0.0,0.0,0.0,0.0
2010-01-18,75.5,75.6,75.1,75.4,75.4,2207,-1.7029775563968192,-1.7073783332702963,-1.6976928328590435,-1.7025888754518135,-1.7025888754518135,-0.004489041457618025,-0.012313335079905655,0.0,0.0,0.0,0.0
2010-01-19,75.4,76.3,74.8,75.2,75.2,2207,-1.7034961101437112,-1.7037876353311414,-1.6992650733446717,-1.7036258961907302,-1.7036258961907302,-0.0042372881355933175,-0.0127346724432191,0.0,0.0,0.0,0.0
2010-01-20,75.0,75.1,74.4,74.6,74.6,2207,-1.7055703251312797,-1.70994311751255,-1.701361393992176,-1.7067369584074799,-1.7067369584074799,-0.009296148738379853,-0.01790416008425505,0.0,0.0,0.0,0.0
2010-01-21,74.3,75.5,74.2,74.9,74.9,2207,-1.7092002013595242,-1.707891290118747,-1.7024095543159286,-1.7051814272991046,-1.7051814272991046,-0.0029286474973375777,-0.011351636747624069,0.0,0.0,0.0,0.0
2010-01-22,74.9,74.9,73.6,73.6,73.6,2207,-1.7060888788781716,-1.7109690312094514,-1.7055540352871852,-1.7119220621020623,-1.7119220621020623,-0.015252876639015448,-0.023743202016182602,-0.03004744333157637,0.0,0.0,0.0
2010-01-25,73.5,74.0,72.4,72.4,72.4,2207,-1.7133486313346609,-1.7155856428455079,-1.7118429972296985,-1.718144186535561,-1.718144186535561,-0.023469112489883932,-0.033893781692020175,-0.04241248567145732,0.0,0.0,0.0
2010-01-26,72.6,72.9,68.0,69.1,69.1,2207,-1.7180156150566899,-1.7212281681784658,-1.7349025243522478,-1.7352550287276833,-1.7352550287276833,-0.0523861766319255,-0.06898410132039888,-0.07973008967415429,0.0,0.0,0.0
2010-01-27,69.1,69.2,68.9,69.2,69.2,2207,-1.7361649961979126,-1.7402075715711423,-1.7301858028953625,-1.7347365183582248,-1.7347365183582248,-0.03674832962138085,-0.05939921163517726,-0.07222023596710765,0.0,0.0,0.0
