date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zclose,zadjcp,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2010-01-04,20.0,20.25,19.9,20.0,20.0,2891,-0.3289440742813084,-0.30630747775782047,-0.31478214708574315,-0.3282521334374273,-0.3282521334374273,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,20.2,20.3,19.95,20.0,20.0,2891,-0.283940937872567,-0.2951906037869008,-0.3034365637213448,-0.3282521334374273,-0.3282521334374273,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,20.1,20.6,20.0,20.6,20.6,2891,-0.3064425060769373,-0.22848935996138378,-0.29209098035694653,-0.19387881210664487,-0.19387881210664487,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,20.7,20.9,20.35,20.4,20.4,2891,-0.17143309685071317,-0.16178811613586752,-0.2126718968061592,-0.23866991921690622,-0.23866991921690622,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,20.5,20.7,20.35,20.5,20.5,2891,-0.21643623325945455,-0.2062556120195453,-0.2126718968061592,-0.21627436566177555,-0.21627436566177555,0.009852216748768438,0.0,0.0,0.0,0.0,0.0
2010-01-11,20.5,20.6,20.4,20.4,20.4,2891,-0.21643623325945455,-0.22848935996138378,-0.2013263134417617,-0.23866991921690622,-0.23866991921690622,0.0009813542688908742,0.0,0.0,0.0,0.0,0.0
2010-01-12,20.5,20.55,20.2,20.25,20.25,2891,-0.21643623325945455,-0.2396062339323034,-0.24670864689935412,-0.2722632495496014,-0.2722632495496014,-0.008810572687224657,0.0,0.0,0.0,0.0,0.0
2010-01-13,20.1,20.2,19.9,19.95,19.95,2891,-0.3064425060769373,-0.3174243517287401,-0.31478214708574315,-0.3394499102149926,-0.3394499102149926,-0.017241379310344897,0.0,0.0,0.0,0.0,0.0
2010-01-14,19.8,20.05,19.75,19.8,19.8,2891,-0.37394721069004977,-0.35077497364149823,-0.34881889717893727,-0.37304324054768784,-0.37304324054768784,-0.018830525272547027,0.0,0.0,0.0,0.0,0.0
2010-01-15,19.9,20.05,19.75,19.8,19.8,2891,-0.35144564248567944,-0.35077497364149823,-0.34881889717893727,-0.37304324054768784,-0.37304324054768784,-0.01197604790419154,-0.018344075359444593,0.0,0.0,0.0,0.0
2010-01-18,19.65,19.85,19.65,19.7,19.7,2891,-0.40769956299660637,-0.395242469525176,-0.3715100639077339,-0.3954387941028185,-0.3954387941028185,-0.010050251256281372,-0.021847070506454878,0.0,0.0,0.0,0.0
2010-01-19,19.8,19.95,19.5,19.5,19.5,2891,-0.37394721069004977,-0.3730087215833375,-0.40554681400092796,-0.44022990121307903,-0.44022990121307903,-0.012658227848101266,-0.029367844698855144,0.0,0.0,0.0,0.0
2010-01-20,19.55,19.65,19.0,19.0,19.0,2891,-0.4302011312009767,-0.43970996540885454,-0.5190026476449094,-0.5522076689887307,-0.5522076689887307,-0.02862985685071586,-0.0466633216256899,0.0,0.0,0.0,0.0
2010-01-21,19.0,19.25,18.95,19.05,19.05,2891,-0.553959756325016,-0.5286449571762101,-0.5303482310093077,-0.5410098922111655,-0.5410098922111655,-0.018547140649149894,-0.0376357666077291,0.0,0.0,0.0,0.0
2010-01-22,18.8,18.85,18.6,18.65,18.65,2891,-0.5989628927337575,-0.6175799489435656,-0.6097673145600943,-0.6305921064316873,-0.6305921064316873,-0.027632950990615284,-0.04895461499235089,-0.059979838709677484,0.0,0.0,0.0
2010-01-25,18.45,18.65,18.3,18.45,18.45,2891,-0.6777183814490554,-0.6620474448272442,-0.6778408147464833,-0.6753832135419479,-0.6753832135419479,-0.025356576862123635,-0.049703837239248,-0.06519169059280537,0.0,0.0,0.0
2010-01-26,18.45,18.55,17.5,17.65,17.65,2891,-0.6777183814490554,-0.6842811927690826,-0.8593701485768538,-0.8545476419829908,-0.8545476419829908,-0.049030172413793295,-0.07856956408248494,-0.09856996935648621,0.0,0.0,0.0
