date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zclose,zadjcp,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2010-01-04,72.0,74.5,71.8,72.4,72.4,2395,-1.6631706246502211,-1.6451703185974547,-1.6554522257583681,-1.6584544089937394,-1.6584544089937394,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,72.8,74.4,72.0,72.6,72.6,2395,-1.6549666649785637,-1.6461831827023299,-1.6533792799348481,-1.656404286853417,-1.656404286853417,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,73.4,73.8,72.0,72.0,72.0,2395,-1.6488136952248202,-1.652260367331582,-1.6533792799348481,-1.6625546532743847,-1.6625546532743847,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,72.5,73.0,71.6,72.2,72.2,2395,-1.658043149855435,-1.6603632801705845,-1.657525171581888,-1.660504531134062,-1.660504531134062,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,72.6,72.8,71.4,72.0,72.0,2395,-1.657017654896478,-1.6623890083803354,-1.6595981174054077,-1.6625546532743847,-1.6625546532743847,-0.003322259136212554,0.0,0.0,0.0,0.0,0.0
2010-01-11,72.0,72.4,71.4,71.6,71.6,2395,-1.6631706246502211,-1.6664404647998365,-1.6595981174054077,-1.66665489755503,-1.66665489755503,-0.006659267480577192,0.0,0.0,0.0,0.0,0.0
2010-01-12,71.6,72.2,70.6,71.0,71.0,2395,-1.66727260448605,-1.6684661930095872,-1.6678899006994874,-1.6728052639759978,-1.6728052639759978,-0.010590858416945443,0.0,0.0,0.0,0.0,0.0
2010-01-13,69.1,70.3,69.1,69.5,69.5,2395,-1.6929099784599801,-1.6877106110022189,-1.6834369943758865,-1.6881811800284172,-1.6881811800284172,-0.02469828795958469,0.0,0.0,0.0,0.0,0.0
2010-01-14,69.5,70.9,69.5,70.0,70.0,2395,-1.688807998624151,-1.6816334263729666,-1.6792911027288466,-1.6830558746776108,-1.6830558746776108,-0.011578650098842238,0.0,0.0,0.0,0.0,0.0
2010-01-15,70.5,70.8,70.1,70.4,70.4,2395,-1.6785530490345792,-1.682646290477842,-1.673072265258287,-1.6789556303969655,-1.6789556303969655,-0.0014184397163119762,-0.013591144738685706,0.0,0.0,0.0,0.0
2010-01-18,70.0,73.4,70.0,72.2,72.2,2395,-1.6836805238293653,-1.6563118237510832,-1.674108738170047,-1.660504531134062,-1.660504531134062,0.022373265363919544,0.011913104414856462,0.0,0.0,0.0,0.0
2010-01-19,72.3,72.5,70.5,70.5,70.5,2395,-1.6600941397733497,-1.6654276006949613,-1.6689263736112472,-1.6779305693268043,-1.6779305693268043,-0.0002836074872378081,-0.008996345234748392,0.0,0.0,0.0,0.0
2010-01-20,70.5,71.3,69.9,69.9,69.9,2395,-1.6785530490345792,-1.6775819699534655,-1.6751452110818068,-1.684080935747772,-1.684080935747772,-0.00991501416430579,-0.014521359086423052,0.0,0.0,0.0,0.0
2010-01-21,69.9,70.0,68.5,68.5,68.5,2395,-1.6847060187883223,-1.6907492033168448,-1.689655831846446,-1.6984317907300301,-1.6984317907300301,-0.025604551920341355,-0.029195011337868317,0.0,0.0,0.0,0.0
2010-01-22,66.5,68.2,66.5,66.7,66.7,2395,-1.7195728473928673,-1.7089807572046005,-1.710385290081645,-1.7168828899929334,-1.7168828899929334,-0.04111558366877515,-0.04755104955019275,-0.057465850211964146,0.0,0.0,0.0
2010-01-25,66.1,66.2,65.3,65.3,65.3,2395,-1.7236748272286961,-1.7292380393021072,-1.7228229650227644,-1.731233744975192,-1.731233744975192,-0.04224112643003827,-0.059077809798271014,-0.07103566009104713,0.0,0.0,0.0
2010-01-26,65.5,65.9,61.0,61.7,61.7,2395,-1.7298277969824394,-1.7322766316167335,-1.7673913002284418,-1.7681359435009985,-1.7681359435009985,-0.07106293285155052,-0.09887541989192342,-0.11308097747963575,0.0,0.0,0.0
