date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zclose,zadjcp,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2010-01-04,38.15,38.15,37.95,38.1,38.1,4904,-2.5514541416197876,-2.5738100204768637,-2.544494063433151,-2.5562085239962795,-2.5562085239962795,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,38.15,38.15,37.9,38.0,38.0,4904,-2.5514541416197876,-2.5738100204768637,-2.5488469855553286,-2.5648395711130707,-2.5648395711130707,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,38.0,38.05,37.9,38.0,38.0,4904,-2.5644204131733574,-2.5823861254495046,-2.5488469855553286,-2.5648395711130707,-2.5648395711130707,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,37.85,37.9,37.1,37.25,37.25,4904,-2.5773866847269273,-2.595250282908465,-2.618493739510163,-2.629572424489003,-2.629572424489003,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,37.35,37.55,37.2,37.5,37.5,4904,-2.6206075899054935,-2.6252666503127067,-2.6097878952658085,-2.6079948066970258,-2.6079948066970258,-0.007148530579825153,0.0,0.0,0.0,0.0,0.0
2010-01-11,37.5,38.25,37.5,38.25,38.25,4904,-2.6076413183519236,-2.565233915504223,-2.5836703625327457,-2.5432619533210934,-2.5432619533210934,0.01190476190476198,0.0,0.0,0.0,0.0,0.0
2010-01-12,38.25,38.25,38.0,38.05,38.05,4904,-2.542809960584074,-2.565233915504223,-2.5401411413109742,-2.5605240475546753,-2.5605240475546753,0.006347527109230227,0.0,0.0,0.0,0.0,0.0
2010-01-13,37.95,38.0,37.65,37.65,37.65,4904,-2.568742503691214,-2.586674177935824,-2.5706115961662146,-2.595048236021839,-2.595048236021839,-0.002384737678855228,0.0,0.0,0.0,0.0,0.0
2010-01-14,38.0,38.0,37.55,37.65,37.65,4904,-2.5644204131733574,-2.586674177935824,-2.579317440410569,-2.595048236021839,-2.595048236021839,-0.004494976203067205,0.0,0.0,0.0,0.0,0.0
2010-01-15,38.0,38.0,37.7,38.0,38.0,4904,-2.5644204131733574,-2.586674177935824,-2.566258674044037,-2.5648395711130707,-2.5648395711130707,0.0021097046413501657,0.004095653322763936,0.0,0.0,0.0,0.0
2010-01-18,37.9,38.0,37.8,38.0,38.0,4904,-2.573064594209071,-2.586674177935824,-2.557552829799683,-2.5648395711130707,-2.5648395711130707,0.0034327964087669015,0.0043610413638167375,0.0,0.0,0.0,0.0
2010-01-19,38.0,38.05,37.8,37.9,37.9,4904,-2.5644204131733574,-2.5823861254495046,-2.557552829799683,-2.573470618229862,-2.573470618229862,0.0015856236786469947,0.001982815598149259,0.0,0.0,0.0,0.0
2010-01-20,38.0,38.0,37.8,37.9,37.9,4904,-2.5644204131733574,-2.586674177935824,-2.557552829799683,-2.573470618229862,-2.573470618229862,0.00026392187912372686,0.0022477852703953684,0.0,0.0,0.0,0.0
2010-01-21,37.9,37.9,37.65,37.75,37.75,4904,-2.573064594209071,-2.595250282908465,-2.5706115961662146,-2.586417188905048,-2.586417188905048,-0.004220522289633439,-0.0030371055064041964,0.0,0.0,0.0,0.0
2010-01-22,37.6,38.5,37.55,38.15,38.15,4904,-2.59899713731621,-2.543793653072622,-2.579317440410569,-2.551893000437884,-2.551893000437884,0.005535055350553529,0.0058001581861325075,0.007216404118630646,0.0,0.0,0.0
2010-01-25,37.8,38.1,37.8,38.0,38.0,4904,-2.5817087752447843,-2.5780980729631837,-2.557552829799683,-2.5648395711130707,-2.5648395711130707,0.0015814443858724902,0.0025062656641605587,0.0034327964087669015,0.0,0.0,0.0
2010-01-26,38.0,38.0,37.7,37.8,37.8,4904,-2.5644204131733574,-2.586674177935824,-2.566258674044037,-2.582101665346653,-2.582101665346653,-0.003164556962025436,-0.0021119324181627613,-0.0014968741745178711,0.0,0.0,0.0
2010-01-27,38.0,39.05,38.0,38.4,38.4,4904,-2.5644204131733574,-2.4966250757231,-2.5401411413109742,-2.530315382645907,-2.530315382645907,0.009994739610731263,0.01172441048610197,0.013638363396392407,0.0,0.0,0.0
2010-01-28,38.95,39.0,38.3,38.35,38.35,4904,-2.482300693334081,-2.50091312820942,-2.514023608577911,-2.534630906204302,-2.534630906204302,0.005506030414263263,0.008547008547008622,0.010362694300518258,0.0,0.0,0.0
2010-01-29,38.4,39.1,38.35,38.8,38.8,4904,-2.5298436890305047,-2.4923370232367796,-2.509670686455734,-2.495791194178743,-2.495791194178743,0.013848967859942357,0.018239076236714162,0.019889599579427,0.02172481895984189,0.0,0.0
2010-02-01,38.8,39.0,38.2,38.25,38.25,4904,-2.4952669648876515,-2.50091312820942,-2.522729452822265,-2.5432619533210934,-2.5432619533210934,-0.0018267223382047854,0.003147128245475936,0.005432401647244473,0.007042717040742402,0.0,0.0
2010-02-02,38.6,38.95,37.95,38.4,38.4,4904,-2.512555326959078,-2.50520118069574,-2.544494063433151,-2.530315382645907,-2.530315382645907,-0.001040582726326721,0.005762179151388319,0.008756567425569052,0.010459838168541567,0.0,0.0
2010-02-03,38.6,39.2,38.6,39.0,39.0,4904,-2.512555326959078,-2.483760918264139,-2.487906075844848,-2.478529099945161,-2.478529099945161,0.011410788381742865,0.018542700443980174,0.022101860749541374,0.024899809473753504,0.0,0.0
2010-02-04,38.5,38.6,38.15,38.35,38.35,4904,-2.5211995079947913,-2.5352175480999817,-2.5270823749444427,-2.534630906204302,-2.534630906204302,-0.0054460580912863285,0.0,0.003839106535206394,0.006363576723742038,0.0,0.0
2010-02-05,38.0,38.0,37.2,37.2,37.2,4904,-2.5644204131733574,-2.586674177935824,-2.6097878952658085,-2.6338879480473985,-2.6338879480473985,-0.02719665271966507,-0.027578094366749434,-0.024901703800786257,-0.023429809017522906,-0.021773430104133688,0.0
2010-02-06,37.5,38.6,37.4,38.0,38.0,4904,-2.6076413183519236,-2.5352175480999817,-2.5923762067771,-2.5648395711130707,-2.5648395711130707,-0.004975124378109394,-0.006665795320873155,-0.003931847968545179,-0.002100840336134409,-0.0006311803071742533,0.0
2010-02-08,38.0,38.2,37.15,37.3,37.3,4904,-2.5644204131733574,-2.569521967990543,-2.614140817387986,-2.6252569009306077,-2.6252569009306077,-0.01764550961285248,-0.02368799895301665,-0.021254263972710633,-0.019517644739436336,-0.018317717654490077,0.0
2010-02-09,37.3,37.6,37.1,37.35,37.35,4904,-2.6249296804233504,-2.620978597826386,-2.618493739510163,-2.620941377372212,-2.620941377372212,-0.007704569606801252,-0.01968503937007874,-0.018998424093854042,-0.017816054171323436,-0.016328680537266195,0.0
2010-02-10,37.5,37.6,36.9,37.4,37.4,4904,-2.6076413183519236,-2.620978597826386,-2.635905427998872,-2.6166258538138165,-2.6166258538138165,-0.0013351134846463087,-0.01591895803183802,-0.01708278580814714,-0.016177824542943628,-0.015167474194227946,0.0
