date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zclose,zadjcp,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2010-01-04,23.7,23.7,23.1,23.35,23.35,2885,1.0162769697983367,0.978674985757502,0.9382965897175015,0.9473468134292433,0.9473468134292433,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,23.5,23.7,23.05,23.05,23.05,2885,0.9783488632218269,0.978674985757502,0.9287523123085855,0.8906207512301537,0.8906207512301537,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,23.15,23.6,23.1,23.55,23.55,2885,0.9119746767129344,0.9598928267227906,0.9382965897175015,0.9851641882286362,0.9851641882286362,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,23.55,23.8,23.15,23.15,23.15,2885,0.9878308898659546,0.9974571447922139,0.9478408671264169,0.9095294386298498,0.9095294386298498,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,23.4,23.6,22.95,23.4,23.4,2885,0.9593848099335718,0.9598928267227906,0.9096637574907533,0.956801157129091,0.956801157129091,0.00429184549356214,0.0,0.0,0.0,0.0,0.0
2010-01-11,23.4,23.65,23.35,23.45,23.45,2885,0.9593848099335718,0.9692839062401459,0.9860179767620811,0.9662555008289394,0.9662555008289394,0.0055746140651800604,0.0,0.0,0.0,0.0,0.0
2010-01-12,23.6,23.85,23.25,23.5,23.5,2885,0.9973129165100821,1.00684822430957,0.966929421944249,0.9757098445287877,0.9757098445287877,0.003844510892780857,0.0,0.0,0.0,0.0,0.0
2010-01-13,23.1,23.25,22.9,22.9,22.9,2885,0.9024926500688074,0.8941552701012994,0.9001194800818373,0.8622577201306086,0.8622577201306086,-0.016323024054982777,0.0,0.0,0.0,0.0,0.0
2010-01-14,23.0,23.2,22.9,23.0,23.0,2885,0.8835285967805522,0.8847641905839434,0.9001194800818373,0.8811664075303054,0.8811664075303054,-0.010752688172043012,0.0,0.0,0.0,0.0,0.0
2010-01-15,23.2,23.5,23.2,23.25,23.25,2885,0.921456703357062,0.9411106676880787,0.957385144535333,0.9284381260295466,0.9284381260295466,0.0012919896640827364,-0.0004299226139294072,0.0,0.0,0.0,0.0
2010-01-18,23.0,23.2,22.85,22.9,22.9,2885,0.8835285967805522,0.8847641905839434,0.8905752026729219,0.8622577201306086,0.8622577201306086,-0.009086975335352698,-0.013568813267284138,0.0,0.0,0.0,0.0
2010-01-19,23.0,23.15,22.4,22.65,22.65,2885,0.8835285967805522,0.8753731110665873,0.804676705992678,0.8149860016313675,0.8149860016313675,-0.012641673931996477,-0.022653721682847988,0.0,0.0,0.0,0.0
2010-01-20,22.8,22.8,21.95,22.0,22.0,2885,0.8456004902040425,0.8096355544450967,0.7187782093124347,0.6920795335333406,0.6920795335333406,-0.03339191564147619,-0.04430929626411814,0.0,0.0,0.0,0.0
2010-01-21,21.75,22.1,21.2,21.5,21.5,2885,0.6464779306773654,0.6781604412021148,0.5756140481786959,0.5975360965348582,0.5975360965348582,-0.04274265360641143,-0.05928680813826298,0.0,0.0,0.0,0.0
2010-01-22,21.1,21.25,20.85,20.95,20.95,2885,0.5232115843037085,0.518512089407065,0.5088041063162848,0.49353831583652746,0.49353831583652746,-0.04772727272727276,-0.07341884122069882,-0.08274956217162875,0.0,0.0,0.0
2010-01-25,20.8,21.1,20.7,20.8,20.8,2885,0.46631942443894353,0.4903388508549976,0.48017127408953664,0.465175284736983,0.465175284736983,-0.036144578313252906,-0.0691429850078318,-0.08248786943096593,0.0,0.0,0.0
2010-01-26,20.8,20.95,20.1,20.1,20.1,2885,0.46631942443894353,0.46216561230292963,0.36563994518254594,0.3328144729391078,0.3328144729391078,-0.04603701945894632,-0.08657123381049765,-0.10560664491248893,0.0,0.0,0.0
2010-01-27,20.2,20.4,20.0,20.0,20.0,2885,0.35253510470941357,0.35886373761201507,0.34655139036471383,0.31390578553941106,0.31390578553941106,-0.032414126753749474,-0.0789776652083813,-0.10058461999700201,0.0,0.0,0.0
2010-01-28,20.8,20.8,20.2,20.3,20.3,2885,0.46631942443894353,0.43399237375086236,0.3847285000003774,0.3706318477385006,0.3706318477385006,-0.006363191385217768,-0.053392399160643485,-0.07922588448745084,0.0,0.0,0.0
2010-01-29,20.05,20.4,19.85,20.4,20.4,2885,0.32408902477703144,0.35886373761201507,0.3179185581379663,0.3895405351381967,0.3895405351381967,0.003937007874015664,-0.035916824196597426,-0.06621910283796166,-0.0814948221521838,0.0,0.0
2010-02-01,20.45,20.45,19.2,19.2,19.2,2885,0.39994523793005093,0.368254817129371,0.19384295182205885,0.1626362863418391,0.1626362863418391,-0.040000000000000036,-0.07647907647907648,-0.10959962899984542,-0.12737188955800471,0.0,0.0
2010-02-02,19.5,19.5,18.7,18.9,18.9,2885,0.2197867316916291,0.18982430629960984,0.0984001777328996,0.10591022414274955,0.10591022414274955,-0.043522267206477706,-0.07421013960323294,-0.11086717892425917,-0.13282863041982118,0.0,0.0
2010-02-03,19.3,19.95,19.2,19.9,19.9,2885,0.18185862511511933,0.2743440219558124,0.19384295182205885,0.2949970981397143,0.2949970981397143,0.008105369807497475,-0.01509527344716653,-0.05493113819851194,-0.07923655292076354,0.0,0.0
2010-02-04,20.0,20.1,19.75,20.1,20.1,2885,0.3146069981329038,0.3025172605078804,0.29883000332013415,0.3328144729391078,0.3328144729391078,0.02030456852791889,0.0017443309244955744,-0.0365873142674548,-0.06337371854613232,0.0,0.0
