date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zclose,zadjcp,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2010-01-04,33.7,34.5,33.6,34.1,34.1,2002,1.5526783030847,1.6695013697303174,1.6046961005440799,1.651433688552784,1.651433688552784,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,34.5,34.95,33.8,34.15,34.15,2002,1.7281489762852682,1.7669274987626709,1.6493961372166943,1.662459541134998,1.662459541134998,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,34.2,34.25,33.95,34.25,34.25,2002,1.6623474738350557,1.6153757424901214,1.682921164721157,1.684511246299428,1.684511246299428,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,34.4,34.7,33.95,34.0,34.0,2002,1.7062151421351968,1.7128018715224749,1.682921164721157,1.6293819833883543,1.6293819833883543,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,34.5,35.1,34.5,34.85,34.85,2002,1.7281489762852682,1.799402875106788,1.8058462655708487,1.8168214772860054,1.8168214772860054,0.016924423694193332,0.0,0.0,0.0,0.0,0.0
2010-01-11,35.0,35.8,35.0,35.3,35.3,2002,1.8378181470356239,1.9509546313793358,1.917596357252387,1.9160541505259374,1.9160541505259374,0.02289191538684416,0.0,0.0,0.0,0.0,0.0
2010-01-12,35.5,35.6,34.75,35.2,35.2,2002,1.9474873177859793,1.90765412958718,1.861721311411618,1.8940024453615092,1.8940024453615092,0.013824884792626843,0.0,0.0,0.0,0.0,0.0
2010-01-13,34.7,34.8,34.3,34.35,34.35,2002,1.772016644585411,1.734452122418552,1.7611462288982327,1.7065629514638578,1.7065629514638578,-0.01122625215889446,0.0,0.0,0.0,0.0,0.0
2010-01-14,34.6,35.0,34.5,34.9,34.9,2002,1.7500828104353396,1.7777526242107093,1.8058462655708487,1.8278473298682196,1.8278473298682196,-0.0005727376861398375,0.0,0.0,0.0,0.0,0.0
2010-01-15,35.2,35.3,34.75,34.75,34.75,2002,1.8816858153357665,1.8427033768989438,1.861721311411618,1.7947697721215756,1.7947697721215756,-0.0042979942693409335,0.004770854416654594,0.0,0.0,0.0,0.0
2010-01-18,34.4,34.5,34.3,34.4,34.4,2002,1.7062151421351968,1.6695013697303174,1.7611462288982327,1.717588804046072,1.717588804046072,-0.00921658986175116,-0.006211180124223496,0.0,0.0,0.0,0.0
2010-01-19,34.6,34.75,34.0,34.15,34.15,2002,1.7500828104353396,1.7236269969705134,1.6940961738893103,1.662459541134998,1.662459541134998,-0.010431758910460925,-0.013433482594250942,0.0,0.0,0.0,0.0
2010-01-20,34.35,34.45,33.85,34.2,34.2,2002,1.695248225060162,1.6586762442822789,1.6605711463848492,1.6734853937172138,1.6734853937172138,-0.008120649651971986,-0.01184628720023105,0.0,0.0,0.0,0.0
