,daily_return,total assets
0,0.0,100000.0
1,-0.012367424222888949,98763.2575777111
2,-0.016100439145489264,97173.12575927089
3,0.0028710786422614766,97452.11744524012
4,0.015850097241467357,98996.74298313407
5,0.009603928584324744,99947.50063282484
6,0.0020904016337797014,100156.4310514399
7,3.9465691830556895e-05,100160.38379428262
8,0.0019346054407288404,100354.15461771653
9,-0.0015638037212043628,100197.22041728703
10,0.006749503079825588,100873.50186508347
11,-0.003941430312299839,100475.9159871246
12,-0.0012820988600399923,100347.09592977603
13,0.00909418958077427,101259.67144404155
14,0.0028353320832958076,101546.77623923084
15,-0.0034563784813285287,101195.79214698928
16,0.009594711933472697,102166.73662151922
17,-0.00012972121063528616,102153.48342875802
18,0.00628991130234371,102796.01977875034
19,0.00645583755607427,103459.65418385295
20,-0.004041948284754943,103041.47561208319
21,0.006571603297304157,103718.62331297464
22,-0.003870284083180779,103317.20277603701
23,0.0013299086823066871,103454.6052210405
24,-0.00649868763655575,102782.28605714577
25,0.014643809562572115,104287.41028057243
26,-0.0016424641957449384,104116.12194311962
27,0.003326950817885928,104462.5111601734
28,0.0029258859069824983,104768.15654938495
29,0.005104810309788987,105302.97811507584
30,0.0005920435914376923,105365.32206842817
31,-0.0001234829474138024,105352.31124790396
32,0.004647481254924855,105841.9341395916
33,0.009032150067445415,106797.91437216906
34,-0.0026786207449402914,106511.84326321541
35,0.0005103195203440393,106566.19833598046
36,-0.0035590544841690736,106186.92342993194
37,0.0027713512558643757,106481.20469353585
38,-0.0012788203181865738,106345.03436546877
39,-0.0015133852258538618,106184.09336161715
40,0.013940634157559284,107664.36696052358
41,0.0006490593880174535,107734.24752865426
42,-0.002013286080385953,107517.34766772397
43,-0.0039032428992400356,107097.6813438948
44,0.0008048934091159802,107183.8835617401
45,-0.0005296038827693002,107127.11856083552
46,0.008633722905684024,108052.02441817413
47,-0.004406099075920707,107575.93649323385
48,0.002534245081041285,107848.56028113024
49,-0.0034724572459910526,107474.06076651232
50,0.0065502151609303505,108178.03898875188
51,0.004588688084054928,108674.434267216
52,-0.0020537128906025263,108451.24818068248
53,-0.0005307878875121961,108393.6835717626
54,-0.0035911917831884725,108004.42106597015
55,-0.010296322108702557,106892.37275751098
56,-0.026989400172650144,104007.41173375443
57,0.008158386195038348,104855.94436582476
58,0.007147214672607696,105605.37230990632
59,-0.022456901567223662,103233.80285897275
60,0.0018091432673604277,103420.56759837907
61,0.004575037363939191,103893.72055934145
62,0.019505159963180592,105920.1841980214
63,-0.012034925814338562,104645.44263895713
64,0.012165180162490217,105918.47330184358
65,0.02037662139645198,108076.73393120545
66,-0.002996058128426602,107752.92975401707
67,-0.0049268735436593,107222.04469516022
68,0.0033359975403664207,107579.73717253633
69,0.01223804798287033,108896.30315803841
70,0.002493943207597581,109167.88435363189
71,-9.511388582259004e-05,109157.50097194398
72,-0.002313072590855793,108905.01174835947
73,0.01412958199859132,110443.79404191546
74,0.0040784603812276474,110894.23468026788
75,0.005668013461019116,111522.78469518505
76,0.004861553371235701,112064.95866508952
77,0.00986935649348283,113170.96769258271
78,-0.0012974325691064118,113024.13599322106
79,0.002626653187304729,113321.01120027002
80,-0.008545073926082988,112352.67478218523
81,0.009977850212396031,113473.71294212392
82,0.0035223186183300547,113873.403513911
83,-0.0011941703440012503,113737.4192724642
84,0.015776695061943652,115531.8198534583
85,0.002388517919348701,115807.76967543326
86,-0.010399483951376739,114603.42863324886
87,-0.007609705859939655,113731.33025080925
88,-0.006832222944392143,112954.29244677343
89,0.012344896437815975,114348.70148923562
90,-0.00940133113321055,113273.67148188267
91,0.0035844428015140177,113679.69447822697
92,0.011299700327095524,114964.24095910671
93,-0.0007862131070441715,114873.85456602328
94,-0.010946602529329962,113616.37613907697
95,0.002060633938730378,113850.4978997447
96,0.011462247102756586,115155.48043944345
97,0.011688928739534367,116501.52464426694
98,-0.0016468314533643479,116309.66626911786
99,0.005725923762805853,116975.64655105222
100,0.011326786712299109,118300.60475006928
101,0.009077143740577857,119374.43634398295
102,-0.0036422294853316905,118939.64725213604
103,-0.010051501909343674,117744.12516068453
104,-9.787914022882771e-05,117732.60046694681
105,-0.004344440837050135,117221.1181496261
106,-0.00798512476321049,116285.0928963183
107,0.004335683261314815,116789.2682271293
108,-0.00010270506639916006,116777.27337758132
109,-0.004880510085141016,116207.34071714677
110,0.010263585270928771,117400.04466770508
111,0.010723591809600346,118658.9948251504
112,-0.001989241558295594,118422.95342137862
113,0.0031634124502990207,118797.574066633
114,-0.001067919080336206,118670.70787058958
115,0.0003630389559794594,118713.78996048027
116,0.01023886325451395,119929.28422231071
117,-0.008010360319918716,118968.60744278006
118,-0.0035736410086502934,118543.45634848053
119,0.001406356900256554,118710.17075629647
120,-0.0040378539482575325,118230.83642460984
121,-0.004806192688631179,117662.59624301513
122,-0.015137185514502494,115881.5156955666
123,-0.018393039222359617,113750.10243223156
124,0.01826099480773937,115827.29246212637
125,-0.021108309166525903,113382.37416291419
126,-0.005464786062100097,112762.76374490088
127,0.004771968746766838,113300.8641292906
128,0.00493131715053621,113859.58662374194
129,0.014587324632860933,115520.49337638581
130,-0.029076532038462752,112161.55804962831
131,-0.06532723410587626,104834.35368924041
132,0.015534327710103657,106462.88489472598
133,0.029510921692196053,109604.70275397952
134,-0.015625989560841425,107892.02081292671
135,0.020283684514943598,110080.46852477585
136,0.016732066065742384,111922.34219668027
137,-0.0020828603212065975,111689.2235910623
138,0.011870264844975248,113015.00425541787
139,-0.01358447048114279,111479.75526618391
140,0.016334877464676007,113300.7634082491
141,-0.0016021815019131272,113119.23502096377
142,0.0008553831244130744,113215.99530564721
143,-0.004149228968396634,112746.23621823917
144,-0.0008552147387041473,112649.81397529191
145,0.0013466785483323574,112801.51706324606
146,0.005565182070561503,113429.27804353858
147,-0.002553868339716142,113139.59460154633
148,-0.001246832494821143,112998.52847854623
149,-0.0013596123305642956,112844.89428589118
150,0.0022019160738239825,113093.36927246825
151,-0.0034432740112736917,112703.95781320498
152,-0.007347269529420703,111875.8914581189
153,-0.038010928095956825,107623.38499223327
154,0.0009672934833709122,107727.48839119458
155,0.009396622366470531,108739.76291809497
156,-0.011351014730438482,107505.45626742729
157,-0.007343797368010688,106715.95798064377
158,0.0003946186402208694,106758.07008687196
159,0.022246860722328652,109133.1020030792
160,0.004382713057102583,109611.4010741902
161,0.003118781342958545,109953.25506683593
162,-0.007256635980222032,109155.3643199754
163,0.013973482905220437,110680.64493731369
164,0.0012725010137941107,110821.4861702038
165,0.008840263254808203,111801.17728223749
166,0.006428545986025354,112519.89629168813
167,0.012309102593835082,113904.9152389902
