,daily_return,total assets
0,0.0,100000.0
1,-0.01352372065202886,98647.62793479711
2,-0.016290846670588104,97040.57455369411
3,0.002204243664828707,97254.47562538543
4,0.014859882630090158,98699.66571842962
5,0.007855506466386799,99475.00158071096
6,0.002167654167585902,99690.628982458
7,0.000986384644856713,99788.9622881224
8,0.0021513570416761053,100003.64397482251
9,-0.002625410705954898,99741.09333729651
10,0.006536053260712891,100393.00643563081
11,-0.003660145854589537,100025.55338929566
12,-0.0012597185992081672,99899.54933929507
13,0.00981536924473087,100880.10030344246
14,0.0023564445418879105,101117.81866518762
15,-0.003804475279168564,100733.11842379246
16,0.008361390724804024,101575.38738586174
17,0.0009582510398325344,101672.72210644564
18,0.007423951956356211,102427.53551063585
19,0.006628281114475434,103106.45400986326
20,-0.003183981654470892,102778.1649518383
21,0.007633084248621482,103562.6793438344
22,-0.004656558861739982,103080.43363159033
23,0.000992133353627826,103182.70316790265
24,-0.005190193118816194,102647.16501193975
25,0.01240159985103959,103920.15407826146
26,0.049742854801773866,109089.43921355439
27,0.005157740186814371,109652.09419814318
28,0.002174913070258022,109890.57797099589
29,0.005332365490633004,110476.55469671414
30,0.0008181746740205961,110566.94381584004
31,0.001994539358310431,110787.47393700884
32,0.006734972782693336,111533.62455863794
33,0.010818472797338838,112740.24804191416
34,-0.0015011281864259086,112571.0104778338
35,-0.002156912614652882,112328.20464528994
36,-0.004387208713017821,111835.39736715247
37,0.0017938739051457152,112036.01596816101
38,0.0005387115628803637,112096.3710654221
39,-0.0028322525277865553,111778.88583511637
40,0.013361811024828182,113272.45418421103
41,0.00033669966134730275,113310.59298117484
42,-0.001102566516958397,113185.66051533709
43,-0.0027789423369590414,112871.12409139435
44,0.003221002023056078,113234.68221043734
45,-0.0011344175153762584,113106.22680358976
46,0.0056417100439323225,113744.33933937886
47,-0.017665981950416035,111734.9338936474
48,0.002896180215580791,112058.5383985794
49,-0.005626388381363795,111428.05354010103
50,0.007832688722046729,112300.8347983842
51,0.005504234870407457,112918.96496925733
52,-0.00200185011349957,112692.91812641737
